fitness,distance
215.37600000000003,2.0
215.368,2.2
214.51999999999998,2.4
214.734,2.6
215.148,2.8
213.796,3.0
215.344,3.2
214.19,3.4
272.328,3.6
561.376,3.8
682.954,4.0
627.292,4.2
629.68,4.4
611.626,4.6
525.342,4.8
532.518,5.0
587.856,5.2
533.364,5.4
619.458,5.6
552.776,5.8
581.466,6.0
596.8620000000001,6.2
565.436,6.4
546.712,6.6
541.7059999999999,6.8
579.4960000000001,7.0
630.564,7.2
563.4359999999999,7.4
595.538,7.6
631.8639999999999,7.8
569.416,8.0
549.2699999999999,8.2
560.3,8.4
536.662,8.6
564.96,8.8
574.3399999999999,9.0
586.6099999999999,9.2
562.924,9.4
584.74,9.6
555.138,9.8
580.8619999999999,10.0
568.51,10.2
595.896,10.4
551.496,10.6
544.71,10.8
582.53,11.0
623.408,11.2
556.6519999999999,11.4
571.7439999999999,11.6
589.488,11.8
594.998,12.0
529.698,12.2
559.418,12.4
613.856,12.6
617.042,12.8
577.3259999999999,13.0
533.5699999999999,13.2
601.594,13.4
546.1360000000001,13.6
570.0360000000001,13.8
643.9,14.0
614.3059999999999,14.2
612.86,14.4
580.52,14.6
624.8340000000001,14.8
584.0699999999999,15.0
588.598,15.2
606.9979999999999,15.4
541.298,15.6
608.178,15.8
592.112,16.0
597.418,16.2
534.8979999999999,16.4
571.1659999999999,16.6
600.5120000000001,16.8
611.3340000000001,17.0
623.158,17.2
560.55,17.4
575.7479999999999,17.6
670.3340000000001,17.8
573.574,18.0
595.434,18.2
540.9200000000001,18.4
548.3259999999999,18.6
482.14799999999997,18.8
630.362,19.0
612.786,19.2
564.142,19.4
557.424,19.6
561.142,19.8
562.966,20.0
570.192,20.2
557.634,20.4
578.2819999999999,20.6
600.036,20.8
551.432,21.0
548.8399999999999,21.2
611.8620000000001,21.4
584.876,21.6
577.634,21.8
644.074,22.0
661.484,22.2
600.6560000000001,22.4
611.7819999999999,22.6
575.514,22.8
687.898,23.0
628.142,23.2
651.9200000000001,23.4
612.7439999999999,23.6
616.274,23.8
584.21,24.0
541.5360000000001,24.2
622.058,24.4
529.0519999999999,24.6
599.152,24.8
605.336,25.0
593.976,25.2
606.382,25.4
569.132,25.6
654.3219999999999,25.8
593.2239999999999,26.0
596.298,26.2
604.3960000000001,26.4
597.652,26.6
606.7760000000001,26.8
590.14,27.0
630.764,27.2
575.918,27.4
619.1099999999999,27.6
600.684,27.8
585.95,28.0
721.04,28.2
699.586,28.4
710.23,28.6
647.4739999999999,28.8
675.0440000000001,29.0
539.0319999999999,29.2
593.896,29.4
609.5840000000001,29.6
663.558,29.8
628.0939999999999,30.0
640.244,30.2
662.4979999999999,30.4
640.442,30.6
660.7499999999999,30.8
654.484,31.0
714.18,31.2
621.558,31.4
621.72,31.6
612.7180000000001,31.8
595.82,32.0
617.574,32.2
638.748,32.4
630.39,32.6
655.182,32.8
687.756,33.0
663.292,33.2
643.3439999999999,33.4
596.528,33.6
625.1400000000001,33.8
585.02,34.0
632.7819999999999,34.2
612.928,34.4
591.066,34.6
639.202,34.8
629.02,35.0
598.636,35.2
608.534,35.4
615.01,35.6
662.274,35.8
613.918,36.0
601.4239999999999,36.2
615.35,36.4
637.854,36.6
576.92,36.8
604.874,37.0
641.688,37.2
626.908,37.4
561.272,37.6
624.586,37.8
555.824,38.0
586.8720000000001,38.2
608.668,38.4
589.986,38.6
617.7579999999999,38.8
579.26,39.0
597.516,39.2
592.126,39.4
580.5880000000001,39.6
617.484,39.8
615.506,40.0
631.3,40.2
620.4300000000001,40.4
645.1519999999999,40.6
656.8279999999999,40.8
841.1899999999999,41.0
885.1060000000001,41.2
855.722,41.4
837.884,41.6
834.2280000000001,41.8
831.994,42.0
788.7740000000001,42.2
884.074,42.4
830.674,42.6
845.05,42.8
854.088,43.0
816.144,43.2
825.098,43.4
845.884,43.6
660.796,43.8
660.61,44.0
694.8720000000001,44.2
647.3799999999999,44.4
665.9359999999999,44.6
611.108,44.8
653.774,45.0
634.022,45.2
584.9860000000001,45.4
633.502,45.6
651.86,45.8
652.5899999999999,46.0
663.288,46.2
668.734,46.4
667.5699999999999,46.6
710.896,46.8
687.972,47.0
738.962,47.2
702.6299999999999,47.4
674.4879999999999,47.6
682.05,47.8
680.408,48.0
666.912,48.2
690.57,48.4
646.362,48.6
618.802,48.8
617.356,49.0
598.472,49.2
597.25,49.4
595.154,49.6
654.308,49.8
632.34,50.0
