fitness,speed,distance
613.48,12.339751696694254,31.548548742223627
888.84,24.829102062888182,42.961772742923124
783.18,12.106852266476398,32.80144089503477
704.0,16.60173967029123,42.7893233512727
3159.79,1.0055957714318642,12.37043536250742
653.17,25.135670353569438,16.188633492801618
770.22,14.281662246190368,31.3365605067906
548.66,27.468239939411127,10.117318086948135
862.0,22.870368831462663,15.005869478321632
646.28,14.868646402288666,26.81480470601644
749.99,12.106852266476398,32.80144089503477
631.75,27.468239939411127,20.726939296869368
673.59,14.868646402288666,26.81480470601644
539.1,27.468239939411127,10.117318086948135
654.82,25.135670353569438,16.188633492801618
703.36,24.829102062888182,34.88828872446978
527.19,27.468239939411127,26.453320719110415
928.05,12.339751696694254,31.548548742223627
748.21,27.468239939411127,21.459379490991452
618.73,27.468239939411127,18.46606139648229
678.23,27.468239939411127,27.807614010669575
658.69,24.829102062888182,30.85154671524311
739.65,27.468239939411127,15.422128691908751
721.52,24.829102062888182,34.88828872446978
710.63,27.468239939411127,24.137092098503945
709.95,27.468239939411127,24.137092098503945
568.13,27.468239939411127,23.770872001442903
722.5,24.829102062888182,34.88828872446978
698.12,27.468239939411127,18.824006491896533
782.84,27.468239939411127,18.46606139648229
670.77,30.0,10.25637560291395
573.35,24.829102062888182,32.869917719856446
678.56,24.829102062888182,32.869917719856446
572.56,27.468239939411127,24.137092098503945
764.3,22.224875313051296,16.694761870113204
576.87,27.468239939411127,24.137092098503945
662.06,24.829102062888182,32.869917719856446
823.46,27.468239939411127,27.807614010669575
675.95,27.468239939411127,23.953982049973426
786.98,24.829102062888182,30.85154671524311
558.56,27.468239939411127,27.402764382608268
731.7,30.0,17.105178826443687
764.36,27.468239939411127,28.503504909180194
807.77,24.829102062888182,31.860732217549778
874.36,30.0,17.19673385070895
710.12,30.0,17.105178826443687
800.09,24.829102062888182,32.869917719856446
646.77,27.468239939411127,28.411949884914936
665.11,27.468239939411127,24.137092098503945
740.02,24.829102062888182,24.782339794984825
732.84,27.468239939411127,26.59714483994988
630.26,30.0,17.105178826443687
707.84,27.468239939411127,28.503504909180194
845.86,27.468239939411127,27.9073571337616
622.09,27.468239939411127,24.459715946744385
